user_id,file_id,type,segment_id,timestamp,impact_scalar,comment
212,M01000FT6,video,M01000FT6_0012,287.0,5,"Pre-change: Host talked about patterns of dirty women in Beijing, with female guest listening calmly. Shift: Host turned to female guest to have her more engaged, and female guest excitedly shared her story. Evidence: Host raised his voice, in addition to using gesture. Host made a joke about the female guest and she laughed and started talking fast."
212,M01000FT6,video,M01000FT6_0017,353.0,2,"Pre-change: Host questioned why the male guest like to use ""sexy"" to compliment others. Shift: Female guest was annoyed that host interrupted male guest's praising the female guest as sexy. Evidence: Female guest challenged host with direct question: ""Why did you..."". Female guest slapped the table multiple times, shaking her head."
212,M01003MTK,video,M01003MTK_0005,64.0,5,Pre-change: female introduced the male to her audience and both speakers are upbeat. Shift: Female started interviewing the male and the mood became much more calm. Both speakers became serious. Evidence: Female started to ask the male questions. Female removed her sun-glasses. Both speakers lowered their voice and stopped smiling.
212,M01003MTK,video,M01003MTK_0016,239.0,1,"Pre-change: The female and male speakers were having a calm conversation. Shift: A group of males walked by and they started greeting each other and talked over each other. The female and male speakers stopped the conversation between them and started to talk to the group. Evidence: People talked over each other, with multiple speakers raised their voices. Some speakers were waving and gesturing."
212,M01003MTK,video,M01003MTK_0018,267.0,5,Pre-change: The group chit-chat with the male and female speakers. Shift: A male from the group walked closer to the male and female and female started interviewing the male from the group. The conversation became less chaotic. Evidence: The other people from the group walked away. The conversation is between the female and the male from the group. They were not shouting and used their normal voice in the conversation.
212,M01000FN8,video,M01000FN8_0010,236.0,1,Pre-change: Host interviewed female interviewee 2. The conversation was calm. Shift: Female interviewee 3 was startled when host approached her. She refused the interview and walked away. \n Evidence: Female interviewee talked very impolitely: What are you doing there? She waved her hand in refusal while walking away.
212,M01003PKW,video,M01003PKW_0018,441.0,5,Pre-change: Husband and wife talked calmly about how they spent their evening Shift: Wife started talking excitedly about a TV drama. The conversation became interesting to both of them. Both looked more excited. Evidence: Wife started smiling and her voice is more intense and sounds more excited.
212,M01003PLL,video,M01003PLL_0002,3409.0,2,"Pre-change: Female shared information of her channel excitedly. \n Shift: Host showed uncomfortableness when bringing up a sensitive topic. After the host brought up the topic, female guest reacted to the question nervously by laughing. Evidence: Male paused and scratched his head. Female laughed nervously, paused before answering. She avoided answering the question directly."
212,M01003W6M,video,M01003W6M_0016,1525.0,5,"Pre-change: Both speakers were recounting a fond memory, with both speakers talking calmly. Shift: Female speaker provided more details to the fond memory, and both speakers became more excited. Evidence: Both speakers appear to be more excited, using more gestures and more facial expression."
212,M01000AJ9,video,M01000AJ9_0007,94.0,5,"Pre-change: A group of girls interact with the birthday girl calmly, with two boys talking in the other side of the room quietly. Shift: The group of girls became more excitedly and the two boys talking to the other side joined the celebration. All people clapped. \n Evidence: More people joined the celebration. People in the room cheered loudly and clapped. The mood in the room became more excitedly."
